model_size,approach,num_examples,dataset_size,success_rate,sample_size,file
1.5B,deepseek-correct-seq8k-1k,3,128,0.3828125,128,countdown_3num_128_20250404-204331.json
1.5B,deepseek-correct-seq8k-1k,5,128,0.0234375,128,countdown_5num_128_20250405-003854.json
0.5B,search-seq8k-5k,3,128,0.3359375,128,countdown_3num_128_20250405-205140.json
0.5B,search-seq8k-5k,5,128,0.0,128,countdown_5num_128_20250405-223626.json
0.5B,deepseek-correct-5k,3,128,0.359375,128,countdown_3num_128_20250406-131825.json
0.5B,deepseek-correct-5k,5,128,0.0,128,countdown_5num_128_20250406-150012.json
0.5B,o3-1k,3,128,0.1171875,128,countdown_3num_128_20250405-003426.json
0.5B,o3-1k,5,128,0.0,128,countdown_5num_128_20250405-004742.json
0.5B,o3-5k,3,128,0.09375,128,countdown_3num_128_20250405-003604.json
0.5B,o3-5k,5,128,0.0,128,countdown_5num_128_20250405-005448.json
0.5B,optimal-1k,3,128,0.0390625,128,countdown_3num_128_20250405-104553.json
0.5B,optimal-1k,5,128,0.0,128,countdown_5num_128_20250405-110703.json
0.5B,optimal-seq8k-5k,3,128,0.015625,128,countdown_3num_128_20250405-003238.json
0.5B,optimal-seq8k-5k,5,128,0.0078125,128,countdown_5num_128_20250405-003706.json
0.5B,search-1k,3,128,0.0859375,128,countdown_3num_128_20250405-020714.json
0.5B,search-1k,5,128,0.0078125,128,countdown_5num_128_20250405-034634.json
0.5B,search-react-1k,3,128,0.0078125,128,countdown_3num_128_20250405-074821.json
0.5B,search-react-1k,5,128,0.0,128,countdown_5num_128_20250405-151549.json
0.5B,search-react-correct-seq10k-5k,5,128,0.0,128,countdown_5num_128_20250405-192709.json
0.5B,search-react-correct-seq10k-5k,3,128,0.0,128,countdown_3num_128_20250406-135003.json
1.5B,optimal-seq8k-5k,3,128,0.046875,128,countdown_3num_128_20250405-000044.json
1.5B,optimal-seq8k-5k,5,128,0.0078125,128,countdown_5num_128_20250405-000535.json
1.5B,search-react-correct-seq10k-5k,3,128,0.625,128,countdown_3num_128_20250404-110225.json
1.5B,search-react-correct-seq10k-5k,3,128,0.625,128,countdown_3num_128_20250405-085359.json
1.5B,search-react-correct-seq10k-5k,5,128,0.0,128,countdown_5num_128_20250405-230520.json
1.5B,search-react-seq8k-5k,3,128,0.4453125,128,countdown_3num_128_20250404-161519.json
1.5B,search-react-seq8k-5k,5,32,0.03125,32,countdown_5num_32_20250403-040504.json
1.5B,search-seq8k-5k,5,128,0.0,128,countdown_5num_128_20250403-171417.json
1.5B,search-seq8k-5k,3,128,0.578125,128,countdown_3num_128_20250403-183154.json
0.5B,deepseek-correct-seq8k-1k,5,128,0.0078125,128,countdown_5num_128_20250404-230911.json
1.5B,baseline,3,128,0.03125,128,countdown_3num_128_20250404-010809.json
1.5B,baseline,5,128,0.0,128,countdown_5num_128_20250404-011155.json
0.5B,baseline,3,128,0.0,128,countdown_3num_128_20250405-003745.json
0.5B,baseline,5,128,0.0,128,countdown_5num_128_20250405-010314.json
1.5B,deepseek-correct-5k,3,128,0.7109375,128,countdown_3num_128_20250406-145445.json
